Date,Open,High,Low,Close,Adj Close,Volume
2020-12-15,6.774000,6.970000,6.332000,6.480000,6.480000,16287600
2020-12-16,6.432000,6.460000,6.142000,6.270000,6.270000,13171100
2020-12-17,6.270000,7.040000,6.120000,6.850000,6.850000,30694500
2020-12-18,6.870000,7.290000,6.610000,7.150000,7.150000,33024000
2020-12-21,7.097000,8.420000,7.001000,8.410000,8.410000,45693600
2020-12-22,8.860000,9.540000,8.510000,9.080000,9.080000,41183500
2020-12-23,9.550000,10.490000,8.630000,8.770000,8.770000,52014100
2020-12-24,9.367000,9.640000,8.650000,8.810000,8.810000,20315000
2020-12-28,8.080000,8.620000,8.000000,8.150000,8.150000,69153700
2020-12-29,8.630000,8.880000,8.050000,8.590000,8.590000,44545200
2020-12-30,8.650000,9.750000,8.610000,9.550000,9.550000,39457100
2020-12-31,9.900000,9.915000,9.030000,9.100000,9.100000,30012200
2021-01-04,9.255000,9.330000,8.310000,8.530000,8.530000,32706900
2021-01-05,8.280000,8.990000,8.230000,8.540000,8.540000,20715700
2021-01-06,8.422000,8.650000,7.880000,8.090000,8.090000,25837700
2021-01-07,8.340000,9.530000,8.340000,9.340000,9.340000,37108500
2021-01-08,9.590000,9.610000,8.800000,9.130000,9.130000,24495900
2021-01-11,8.920000,9.850000,8.860000,9.290000,9.290000,25041400
2021-01-12,9.300000,9.560000,9.100000,9.400000,9.400000,14957300
